,series_code,indicator_name
346,GC.NFN.TOTL.CN,Net investment in nonfinancial assets (current LCU)
347,GC.NFN.TOTL.GD.ZS,Net investment in nonfinancial assets (% of GDP)
348,GC.NLD.TOTL.CN,Net lending (+) / net borrowing (-) (current LCU)
349,GC.NLD.TOTL.GD.ZS,Net lending (+) / net borrowing (-) (% of GDP)
350,GC.REV.GOTR.CN,Grants and other revenue (current LCU)
351,GC.REV.GOTR.ZS,Grants and other revenue (% of revenue)
352,GC.REV.SOCL.CN,Social contributions (current LCU)
353,GC.REV.SOCL.ZS,Social contributions (% of revenue)
354,GC.REV.XGRT.CN,"Revenue, excluding grants (current LCU)"
355,GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)"
356,GC.TAX.EXPT.CN,Taxes on exports (current LCU)
357,GC.TAX.EXPT.ZS,Taxes on exports (% of tax revenue)
358,GC.TAX.GSRV.CN,Taxes on goods and services (current LCU)
359,GC.TAX.GSRV.RV.ZS,Taxes on goods and services (% of revenue)
360,GC.TAX.GSRV.VA.ZS,Taxes on goods and services (% value added of industry and services)
361,GC.TAX.IMPT.CN,Customs and other import duties (current LCU)
362,GC.TAX.IMPT.ZS,Customs and other import duties (% of tax revenue)
363,GC.TAX.INTT.CN,Taxes on international trade (current LCU)
364,GC.TAX.INTT.RV.ZS,Taxes on international trade (% of revenue)
365,GC.TAX.OTHR.CN,Other taxes (current LCU)
366,GC.TAX.OTHR.RV.ZS,Other taxes (% of revenue)
367,GC.TAX.TOTL.CN,Tax revenue (current LCU)
368,GC.TAX.TOTL.GD.ZS,Tax revenue (% of GDP)
369,GC.TAX.YPKG.CN,"Taxes on income, profits and capital gains (current LCU)"
370,GC.TAX.YPKG.RV.ZS,"Taxes on income, profits and capital gains (% of revenue)"
371,GC.TAX.YPKG.ZS,"Taxes on income, profits and capital gains (% of total taxes)"
372,GC.XPN.COMP.CN,Compensation of employees (current LCU)
373,GC.XPN.COMP.ZS,Compensation of employees (% of expense)
374,GC.XPN.GSRV.CN,Goods and services expense (current LCU)
375,GC.XPN.GSRV.ZS,Goods and services expense (% of expense)
376,GC.XPN.INTP.CN,Interest payments (current LCU)
377,GC.XPN.INTP.RV.ZS,Interest payments (% of revenue)
378,GC.XPN.INTP.ZS,Interest payments (% of expense)
379,GC.XPN.OTHR.CN,Other expense (current LCU)
380,GC.XPN.OTHR.ZS,Other expense (% of expense)
381,GC.XPN.TOTL.CN,Expense (current LCU)
382,GC.XPN.TOTL.GD.ZS,Expense (% of GDP)
383,GC.XPN.TRFT.CN,Subsidies and other transfers (current LCU)
384,GC.XPN.TRFT.ZS,Subsidies and other transfers (% of expense)
385,GF.XPD.BUDG.ZS,Primary government expenditures as a proportion of original approved budget (%)
386,HD.HCI.OVRL,Human capital index (HCI) (scale 0-1)
387,HD.HCI.OVRL.FE,"Human capital index (HCI), female (scale 0-1)"
388,HD.HCI.OVRL.LB,"Human capital index (HCI), lower bound (scale 0-1)"
389,HD.HCI.OVRL.LB.FE,"Human capital index (HCI), female, lower bound (scale 0-1)"
390,HD.HCI.OVRL.LB.MA,"Human capital index (HCI), male, lower bound (scale 0-1)"
391,HD.HCI.OVRL.MA,"Human capital index (HCI), male (scale 0-1)"
392,HD.HCI.OVRL.UB,"Human capital index (HCI), upper bound (scale 0-1)"
393,HD.HCI.OVRL.UB.FE,"Human capital index (HCI), female, upper bound (scale 0-1)"
394,HD.HCI.OVRL.UB.MA,"Human capital index (HCI), male, upper bound (scale 0-1)"
395,IC.BUS.DFRN.XQ,Ease of doing business score (0 = lowest performance to 100 = best performance)
396,IC.BUS.DISC.XQ,Business extent of disclosure index (0=less disclosure to 10=more disclosure)
397,IC.BUS.EASE.XQ,Ease of doing business rank (1=most business-friendly regulations)
398,IC.BUS.NDNS.ZS,"New business density (new registrations per 1,000 people ages 15-64)"
399,IC.BUS.NREG,New businesses registered (number)
400,IC.CRD.INFO.XQ,Depth of credit information index (0=low to 8=high)
401,IC.CRD.PRVT.ZS,Private credit bureau coverage (% of adults)
402,IC.CRD.PUBL.ZS,Public credit registry coverage (% of adults)
403,IC.CUS.DURS.EX,Average time to clear exports through customs (days)
404,IC.ELC.DURS,Time to obtain an electrical connection (days)
405,IC.ELC.OUTG,Power outages in firms in a typical month (number)
406,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (% of firms)
407,IC.ELC.TIME,Time required to get electricity (days)
408,IC.EXP.CSBC.CD,"Cost to export, border compliance (US$)"
409,IC.EXP.CSDC.CD,"Cost to export, documentary compliance (US$)"
410,IC.EXP.TMBC,"Time to export, border compliance (hours)"
411,IC.EXP.TMDC,"Time to export, documentary compliance (hours)"
412,IC.FRM.BKWC.ZS,Firms using banks to finance working capital (% of firms)
413,IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms)
414,IC.FRM.BRIB.ZS,Bribery incidence (% of firms experiencing at least one bribe payment request)
415,IC.FRM.CMPU.ZS,Firms competing against unregistered firms (% of firms)
416,IC.FRM.CORR.ZS,Informal payments to public officials (% of firms)
417,IC.FRM.CRIM.ZS,Losses due to theft and vandalism (% of annual sales of affected firms)
418,IC.FRM.DURS,Time required to obtain an operating license (days)
419,IC.FRM.FEMM.ZS,Firms with female top manager (% of firms)
420,IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms)
421,IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms)
422,IC.FRM.INFM.ZS,Firms that do not report all sales for tax purposes (% of firms)
423,IC.FRM.METG.ZS,Firms visited or required meetings with tax officials (% of firms)
424,IC.FRM.OUTG.ZS,Value lost due to electrical outages (% of sales for affected firms)
425,IC.FRM.RSDV.ZS,Firms that spend on R&D (% of firms)
426,IC.FRM.THEV.ZS,Firms experiencing losses due to theft and vandalism (% of firms)
427,IC.FRM.TRNG.ZS,Firms offering formal training (% of firms)
428,IC.GOV.DURS.ZS,Time spent dealing with the requirements of government regulations (% of senior management time)
429,IC.IMP.CSBC.CD,"Cost to import, border compliance (US$)"
430,IC.IMP.CSDC.CD,"Cost to import, documentary compliance (US$)"
431,IC.IMP.TMBC,"Time to import, border compliance (hours)"
432,IC.IMP.TMDC,"Time to import, documentary compliance (hours)"
433,IC.ISV.DURS,Time to resolve insolvency (years)
434,IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 12=strong)
435,IC.LGL.DURS,Time required to enforce a contract (days)
436,IC.PRP.DURS,Time required to register property (days)
437,IC.PRP.PROC,Procedures to register property (number)
438,IC.REG.COST.PC.FE.ZS,"Cost of business start-up procedures, female (% of GNI per capita)"
439,IC.REG.COST.PC.MA.ZS,"Cost of business start-up procedures, male (% of GNI per capita)"
440,IC.REG.COST.PC.ZS,Cost of business start-up procedures (% of GNI per capita)
441,IC.REG.DURS,Time required to start a business (days)
442,IC.REG.DURS.FE,"Time required to start a business, female (days)"
443,IC.REG.DURS.MA,"Time required to start a business, male (days)"
444,IC.REG.PROC,Start-up procedures to register a business (number)
445,IC.REG.PROC.FE,"Start-up procedures to register a business, female (number)"
446,IC.REG.PROC.MA,"Start-up procedures to register a business, male (number)"
447,IC.TAX.DURS,Time to prepare and pay taxes (hours)
448,IC.TAX.GIFT.ZS,Firms expected to give gifts in meetings with tax officials (% of firms)
449,IC.TAX.LABR.CP.ZS,Labor tax and contributions (% of commercial profits)
450,IC.TAX.METG,Number of visits or required meetings with tax officials (average for affected firms)
451,IC.TAX.OTHR.CP.ZS,Other taxes payable by businesses (% of commercial profits)
452,IC.TAX.PAYM,Tax payments (number)
453,IC.TAX.PRFT.CP.ZS,Profit tax (% of commercial profits)
454,IC.TAX.TOTL.CP.ZS,Total tax and contribution rate (% of profit)
455,IC.WRH.DURS,Time required to build a warehouse (days)
456,IC.WRH.PROC,Procedures to build a warehouse (number)
457,IE.PPI.ENGY.CD,Investment in energy with private participation (current US$)
458,IE.PPI.ICTI.CD,Investment in ICT with private participation (current US$)
459,IE.PPI.TRAN.CD,Investment in transport with private participation (current US$)
460,IE.PPI.WATR.CD,Investment in water and sanitation with private participation (current US$)
461,IE.PPN.ENGY.CD,Public private partnerships investment in energy (current US$)
462,IE.PPN.ICTI.CD,Public private partnerships investment in ICT (current US$)
463,IE.PPN.TRAN.CD,Public private partnerships investment in transport (current US$)
464,IE.PPN.WATR.CD,Public private partnerships investment in water and sanitation (current US$)
465,IP.IDS.NRCT,"Industrial design applications, nonresident, by count"
466,IP.IDS.RSCT,"Industrial design applications, resident, by count"
467,IP.JRN.ARTC.SC,Scientific and technical journal articles
468,IP.PAT.NRES,"Patent applications, nonresidents"
469,IP.PAT.RESD,"Patent applications, residents"
470,IP.TMK.NRCT,"Trademark applications, nonresident, by count"
471,IP.TMK.RSCT,"Trademark applications, resident, by count"
472,IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high)
473,IQ.CPA.DEBT.XQ,CPIA debt policy rating (1=low to 6=high)
474,IQ.CPA.ECON.XQ,CPIA economic management cluster average (1=low to 6=high)
475,IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)
476,IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating (1=low to 6=high)
477,IQ.CPA.FINS.XQ,CPIA financial sector rating (1=low to 6=high)
478,IQ.CPA.FISP.XQ,CPIA fiscal policy rating (1=low to 6=high)
479,IQ.CPA.GNDR.XQ,CPIA gender equality rating (1=low to 6=high)
480,IQ.CPA.HRES.XQ,CPIA building human resources rating (1=low to 6=high)
481,IQ.CPA.IRAI.XQ,IDA resource allocation index (1=low to 6=high)
482,IQ.CPA.MACR.XQ,CPIA macroeconomic management rating (1=low to 6=high)
483,IQ.CPA.PADM.XQ,CPIA quality of public administration rating (1=low to 6=high)
484,IQ.CPA.PRES.XQ,CPIA equity of public resource use rating (1=low to 6=high)
485,IQ.CPA.PROP.XQ,CPIA property rights and rule-based governance rating (1=low to 6=high)
486,IQ.CPA.PROT.XQ,CPIA social protection rating (1=low to 6=high)
487,IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average (1=low to 6=high)
488,IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating (1=low to 6=high)
489,IQ.CPA.SOCI.XQ,CPIA policies for social inclusion/equity cluster average (1=low to 6=high)
490,IQ.CPA.STRC.XQ,CPIA structural policies cluster average (1=low to 6=high)
491,IQ.CPA.TRAD.XQ,CPIA trade rating (1=low to 6=high)
492,IQ.CPA.TRAN.XQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)"
493,IQ.SCI.MTHD,Methodology assessment of statistical capacity (scale 0 - 100)
494,IQ.SCI.OVRL,Statistical Capacity Score (Overall Average) (scale 0 - 100)
495,IQ.SCI.PRDC,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100)
496,IQ.SCI.SRCE,Source data assessment of statistical capacity (scale 0 - 100)
497,IQ.SPI.OVRL,Statistical performance indicators (SPI): Overall score (scale 0-100)
498,IQ.SPI.PIL1,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)
499,IQ.SPI.PIL2,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100)
500,IQ.SPI.PIL3,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)
501,IQ.SPI.PIL4,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100)
502,IQ.SPI.PIL5,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100)
503,IS.AIR.DPRT,"Air transport, registered carrier departures worldwide"
504,IS.AIR.GOOD.MT.K1,"Air transport, freight (million ton-km)"
505,IS.AIR.PSGR,"Air transport, passengers carried"
506,IS.RRS.GOOD.MT.K6,"Railways, goods transported (million ton-km)"
507,IS.RRS.PASG.KM,"Railways, passengers carried (million passenger-km)"
508,IS.RRS.TOTL.KM,Rail lines (total route-km)
509,IS.SHP.GCNW.XQ,Liner shipping connectivity index (maximum value in 2004 = 100)
510,IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units)
511,IT.CEL.SETS,Mobile cellular subscriptions
512,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people)
513,IT.MLT.MAIN,Fixed telephone subscriptions
514,IT.MLT.MAIN.P2,Fixed telephone subscriptions (per 100 people)
515,IT.NET.BBND,Fixed broadband subscriptions
516,IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people)
517,IT.NET.SECR,Secure Internet servers
518,IT.NET.SECR.P6,Secure Internet servers (per 1 million people)
519,IT.NET.USER.ZS,Individuals using the Internet (% of population)
520,LP.EXP.DURS.MD,"Lead time to export, median case (days)"
521,LP.IMP.DURS.MD,"Lead time to import, median case (days)"
522,LP.LPI.CUST.XQ,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)
523,LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)
524,LP.LPI.ITRN.XQ,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)
525,LP.LPI.LOGS.XQ,Logistics performance index: Competence and quality of logistics services (1=low to 5=high)
526,LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high)
527,LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)
528,LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high)
529,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values)
530,MS.MIL.TOTL.P1,"Armed forces personnel, total"
531,MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force)
532,MS.MIL.XPND.CD,Military expenditure (current USD)
533,MS.MIL.XPND.CN,Military expenditure (current LCU)
534,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP)
535,MS.MIL.XPND.ZS,Military expenditure (% of general government expenditure)
536,MS.MIL.XPRT.KD,Arms exports (SIPRI trend indicator values)
537,NE.CON.GOVT.CD,General government final consumption expenditure (current US$)
538,NE.CON.GOVT.CN,General government final consumption expenditure (current LCU)
539,NE.CON.GOVT.KD,General government final consumption expenditure (constant 2015 US$)
540,NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth)
541,NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU)
542,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP)
543,NE.CON.PRVT.CD,Household and NPISHs Final consumption expenditure (current US$)
544,NE.CON.PRVT.CN,Household and NPISHs Final consumption expenditure (current LCU)
545,NE.CON.PRVT.CN.AD,Households and NPISHs final consumption expenditure: linked series (current LCU)
546,NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure (constant 2015 US$)
547,NE.CON.PRVT.KD.ZG,Household and NPISHs Final consumption expenditure (annual % growth)
548,NE.CON.PRVT.KN,Household and NPISHs Final consumption expenditure (constant LCU)
549,NE.CON.PRVT.PC.KD,Households and NPISHs final consumption expenditure per capita (constant 2015 US$)
550,NE.CON.PRVT.PC.KD.ZG,Household final consumption expenditure per capita growth (annual %)
551,NE.CON.PRVT.PP.CD,"Households and NPISHs Final consumption expenditure, PPP (current international $)"
552,NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)"
553,NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP)
554,NE.CON.TOTL.CD,Final consumption expenditure (current US$)
555,NE.CON.TOTL.CN,Final consumption expenditure (current LCU)
556,NE.CON.TOTL.KD,Final consumption expenditure (constant 2015 US$)
557,NE.CON.TOTL.KD.ZG,Final consumption expenditure (annual % growth)
558,NE.CON.TOTL.KN,Final consumption expenditure (constant LCU)
559,NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP)
560,NE.DAB.DEFL.ZS,Gross national expenditure deflator (base year varies by country)
561,NE.DAB.TOTL.CD,Gross national expenditure (current US$)
562,NE.DAB.TOTL.CN,Gross national expenditure (current LCU)
563,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$)
564,NE.DAB.TOTL.KN,Gross national expenditure (constant LCU)
565,NE.DAB.TOTL.ZS,Gross national expenditure (% of GDP)
566,NE.EXP.GNFS.CD,Exports of goods and services (current US$)
567,NE.EXP.GNFS.CN,Exports of goods and services (current LCU)
568,NE.EXP.GNFS.KD,Exports of goods and services (constant 2015 US$)
569,NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth)
570,NE.EXP.GNFS.KN,Exports of goods and services (constant LCU)
571,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP)
572,NE.GDI.FPRV.CN,"Gross fixed capital formation, private sector (current LCU)"
573,NE.GDI.FPRV.ZS,"Gross fixed capital formation, private sector (% of GDP)"
574,NE.GDI.FTOT.CD,Gross fixed capital formation (current US$)
575,NE.GDI.FTOT.CN,Gross fixed capital formation (current LCU)
576,NE.GDI.FTOT.KD,Gross fixed capital formation (constant 2015 US$)
577,NE.GDI.FTOT.KD.ZG,Gross fixed capital formation (annual % growth)
578,NE.GDI.FTOT.KN,Gross fixed capital formation (constant LCU)
579,NE.GDI.FTOT.ZS,Gross fixed capital formation (% of GDP)
580,NE.GDI.STKB.CD,Changes in inventories (current US$)
581,NE.GDI.STKB.CN,Changes in inventories (current LCU)
582,NE.GDI.STKB.KN,Changes in inventories (constant LCU)
583,NE.GDI.TOTL.CD,Gross capital formation (current US$)
584,NE.GDI.TOTL.CN,Gross capital formation (current LCU)
585,NE.GDI.TOTL.KD,Gross capital formation (constant 2015 US$)
586,NE.GDI.TOTL.KD.ZG,Gross capital formation (annual % growth)
587,NE.GDI.TOTL.KN,Gross capital formation (constant LCU)
588,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP)
589,NE.IMP.GNFS.CD,Imports of goods and services (current US$)
590,NE.IMP.GNFS.CN,Imports of goods and services (current LCU)
591,NE.IMP.GNFS.KD,Imports of goods and services (constant 2015 US$)
592,NE.IMP.GNFS.KD.ZG,Imports of goods and services (annual % growth)
593,NE.IMP.GNFS.KN,Imports of goods and services (constant LCU)
594,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP)
595,NE.RSB.GNFS.CD,External balance on goods and services (current US$)
596,NE.RSB.GNFS.CN,External balance on goods and services (current LCU)
597,NE.RSB.GNFS.KN,External balance on goods and services (constant LCU)
598,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP)
599,NE.TRD.GNFS.ZS,Trade (% of GDP)
600,NV.AGR.EMPL.KD,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
601,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)"
602,NV.AGR.TOTL.CN,"Agriculture, forestry, and fishing, value added (current LCU)"
603,NV.AGR.TOTL.KD,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
604,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)"
605,NV.AGR.TOTL.KN,"Agriculture, forestry, and fishing, value added (constant LCU)"
606,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)"
607,NV.FSM.TOTL.CN,Financial intermediary services indirectly Measured (FISIM) (current LCU)
608,NV.FSM.TOTL.KN,Financial intermediary services indirectly Measured (FISIM) (constant LCU)
609,NV.IND.EMPL.KD,"Industry (including construction), value added per worker (constant 2015 US$)"
610,NV.IND.MANF.CD,"Manufacturing, value added (current US$)"
611,NV.IND.MANF.CN,"Manufacturing, value added (current LCU)"
612,NV.IND.MANF.KD,"Manufacturing, value added (constant 2015 US$)"
613,NV.IND.MANF.KD.ZG,"Manufacturing, value added (annual % growth)"
614,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)"
615,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)"
616,NV.IND.TOTL.CD,"Industry (including construction), value added (current US$)"
617,NV.IND.TOTL.CN,"Industry (including construction), value added (current LCU)"
618,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)"
619,NV.IND.TOTL.KD.ZG,"Industry (including construction), value added (annual % growth)"
620,NV.IND.TOTL.KN,"Industry (including construction), value added (constant LCU)"
621,NV.IND.TOTL.ZS,"Industry (including construction), value added (% of GDP)"
622,NV.MNF.CHEM.ZS.UN,Chemicals (% of value added in manufacturing)
623,NV.MNF.FBTO.ZS.UN,"Food, beverages and tobacco (% of value added in manufacturing)"
624,NV.MNF.MTRN.ZS.UN,Machinery and transport equipment (% of value added in manufacturing)
625,NV.MNF.OTHR.ZS.UN,Other manufacturing (% of value added in manufacturing)
626,NV.MNF.TECH.ZS.UN,Medium and high-tech manufacturing value added (% manufacturing value added)
627,NV.MNF.TXTL.ZS.UN,Textiles and clothing (% of value added in manufacturing)
628,NV.SRV.EMPL.KD,"Services, value added per worker (constant 2015 US$)"
629,NV.SRV.TOTL.CD,"Services, value added (current US$)"
630,NV.SRV.TOTL.CN,"Services, value added (current LCU)"
631,NV.SRV.TOTL.KD,"Services, value added (constant 2015 US$)"
632,NV.SRV.TOTL.KD.ZG,"Services, value added (annual % growth)"
633,NV.SRV.TOTL.KN,"Services, value added (constant LCU)"
634,NV.SRV.TOTL.ZS,"Services, value added (% of GDP)"
635,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$)
636,NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI)
637,NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$)
638,NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI)
639,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
640,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
641,NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$)
642,NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI)
643,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
644,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
645,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
646,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
647,NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$)
648,NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI)
649,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
650,NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI)
651,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$)
652,NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI)
653,NY.ADJ.NNTY.CD,Adjusted net national income (current US$)
654,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2015 US$)
655,NY.ADJ.NNTY.KD.ZG,Adjusted net national income (annual % growth)
656,NY.ADJ.NNTY.PC.CD,Adjusted net national income per capita (current US$)
657,NY.ADJ.NNTY.PC.KD,Adjusted net national income per capita (constant 2015 US$)
658,NY.ADJ.NNTY.PC.KD.ZG,Adjusted net national income per capita (annual % growth)
659,NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)"
660,NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)"
661,NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)"
662,NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)"
663,NY.EXP.CAPM.KN,Exports as a capacity to import (constant LCU)
664,NY.GDP.COAL.RT.ZS,Coal rents (% of GDP)
665,NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)"
666,NY.GDP.DEFL.KD.ZG.AD,"Inflation, GDP deflator: linked series (annual %)"
667,NY.GDP.DEFL.ZS,GDP deflator (base year varies by country)
668,NY.GDP.DEFL.ZS.AD,GDP deflator: linked series (base year varies by country)
669,NY.GDP.DISC.CN,Discrepancy in expenditure estimate of GDP (current LCU)
670,NY.GDP.DISC.KN,Discrepancy in expenditure estimate of GDP (constant LCU)
671,NY.GDP.FCST.CD,Gross value added at basic prices (GVA) (current US$)
672,NY.GDP.FCST.CN,Gross value added at basic prices (GVA) (current LCU)
673,NY.GDP.FCST.KD,Gross value added at basic prices (GVA) (constant 2015 US$)
674,NY.GDP.FCST.KN,Gross value added at basic prices (GVA) (constant LCU)
675,NY.GDP.FRST.RT.ZS,Forest rents (% of GDP)
676,NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP)
677,NY.GDP.MKTP.CD,GDP (current US$)
678,NY.GDP.MKTP.CN,GDP (current LCU)
679,NY.GDP.MKTP.CN.AD,GDP: linked series (current LCU)
680,NY.GDP.MKTP.KD,GDP (constant 2015 US$)
681,NY.GDP.MKTP.KD.ZG,GDP growth (annual %)
682,NY.GDP.MKTP.KN,GDP (constant LCU)
683,NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)"
684,NY.GDP.MKTP.PP.KD,"GDP, PPP (constant 2017 international $)"
685,NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP)
686,NY.GDP.PCAP.CD,GDP per capita (current US$)
687,NY.GDP.PCAP.CN,GDP per capita (current LCU)
688,NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$)
689,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %)
690,NY.GDP.PCAP.KN,GDP per capita (constant LCU)
691,NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)"
692,NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2017 international $)"
693,NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
694,NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP)
695,NY.GDS.TOTL.CD,Gross domestic savings (current US$)
696,NY.GDS.TOTL.CN,Gross domestic savings (current LCU)
697,NY.GDS.TOTL.ZS,Gross domestic savings (% of GDP)
698,NY.GDY.TOTL.KN,Gross domestic income (constant LCU)
699,NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)"
700,NY.GNP.MKTP.CD,GNI (current US$)
701,NY.GNP.MKTP.CN,GNI (current LCU)
702,NY.GNP.MKTP.CN.AD,GNI: linked series (current LCU)
703,NY.GNP.MKTP.KD,GNI (constant 2015 US$)
704,NY.GNP.MKTP.KD.ZG,GNI growth (annual %)
705,NY.GNP.MKTP.KN,GNI (constant LCU)
706,NY.GNP.MKTP.PP.CD,"GNI, PPP (current international $)"
707,NY.GNP.MKTP.PP.KD,"GNI, PPP (constant 2017 international $)"
708,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)"
709,NY.GNP.PCAP.CN,GNI per capita (current LCU)
710,NY.GNP.PCAP.KD,GNI per capita (constant 2015 US$)
711,NY.GNP.PCAP.KD.ZG,GNI per capita growth (annual %)
712,NY.GNP.PCAP.KN,GNI per capita (constant LCU)
713,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)"
714,NY.GNP.PCAP.PP.KD,"GNI per capita, PPP (constant 2017 international $)"
715,NY.GNS.ICTR.CD,Gross savings (current US$)
716,NY.GNS.ICTR.CN,Gross savings (current LCU)
717,NY.GNS.ICTR.GN.ZS,Gross savings (% of GNI)
718,NY.GNS.ICTR.ZS,Gross savings (% of GDP)
719,NY.GSR.NFCY.CD,Net primary income (Net income from abroad) (current US$)
720,NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU)
721,NY.GSR.NFCY.KN,Net primary income (Net income from abroad) (constant LCU)
722,NY.TAX.NIND.CD,Taxes less subsidies on products (current US$)
723,NY.TAX.NIND.CN,Taxes less subsidies on products (current LCU)
724,NY.TAX.NIND.KN,Taxes less subsidies on products (constant LCU)
725,NY.TRF.NCTR.CD,Net secondary income (Net current transfers from abroad) (current US$)
726,NY.TRF.NCTR.CN,Net secondary income (Net current transfers from abroad) (current LCU)
